Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4144564,5026792,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,..
"Population, total",SP.POP.TOTL,Niger,NER,7911884,11224523,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,95617345,122876723,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,43972,68434,62235,59791,57343,55276,53860,53234,53314,53869,54541,..
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5136475,..
"Population, total",SP.POP.TOTL,Oman,OMN,1812159,2239403,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912,4236057,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,107607639,138250487,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646,185044286,..
"Population, total",SP.POP.TOTL,Palau,PLW,15089,19174,20012,20118,20227,20344,20470,20606,20756,20919,21097,..
"Population, total",SP.POP.TOTL,Panama,PAN,2471010,3028751,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4157903,5374051,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864,7463577,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213740,5302703,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,..
"Population, total",SP.POP.TOTL,Peru,PER,21826658,25914875,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461,30973148,..
"Population, total",SP.POP.TOTL,Philippines,PHL,61947340,77932247,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,37995529,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10397393,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3805214,3782995,3760866,3740410,3721527,3686771,3642281,3595839,3548397,..
"Population, total",SP.POP.TOTL,Qatar,QAT,476478,593453,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,..
"Population, total",SP.POP.TOTL,Romania,ROM,23201835,22442971,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19910995,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819569,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,7259740,8021875,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095,11341544,..
"Population, total",SP.POP.TOTL,Samoa,WSM,162865,174614,181072,182238,183440,184700,186029,187434,188901,190390,191845,..
"Population, total",SP.POP.TOTL,San Marino,SMR,24045,27420,29568,29874,30160,30431,30690,30938,31172,31391,31595,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113575,137164,156584,160064,163595,167196,170880,174646,178484,182386,186342,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16361453,21392273,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7514201,9860578,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7129428,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,70000,81131,84600,85033,86956,87298,89770,87441,88303,89900,91526,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,3931208,4060709,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,..
"Population, total",SP.POP.TOTL,Singapore,SGP,3047100,4027900,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200,5469700,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,30519,38270,39462,40458,39133,35474,33435,34640,36607,37664,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418506,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2062218,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311849,412336,480716,492075,503410,514767,526177,537648,549162,560685,572171,..
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,7385416,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,35200000,44000000,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,54001953,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,5762190,6692999,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,..
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,40263216,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46404602,..
